Constellation, Average Continuation, Same Constellations Accross Cultures 
CON korean 116,0.07115580741023646, 1
CON chinese 213,0.08332045526095376, 1
CON ruelle Aur,0.08512908796254641, 1
CON chinese 269,0.10041591938451037, 1
CON chinese 307,0.10560386620957074, 1
CON korean 114,0.12173090240361699, 1
CON japanese_moon_stations 22,0.12838388390264122, 1
CON ruelle Cas,0.128439126940217, 1
CON chinese 148,0.13092193899501212, 1
CON romanian Sec,0.13475362023384307, 1
CON arabic_ancient 5999,0.13544397273483702, 1
CON korean 215,0.138516898177165, 1
CON hawaiian_starlines LUP,0.14941735521333266, 1
CON korean 236,0.15428476888320386, 2
CON chinese 013,0.15440845887506707, 1
CON korean 105,0.15465018149411405, 1
CON korean 228,0.1615442024437269, 1
CON korean 037,0.16588607777912406, 1
CON arabic_ancient 0999,0.16634293523368338, 1
CON western_hlad Ori,0.17028314226269553, 1
CON korean 124,0.17301125363238357, 1
CON egyptian 021,0.1738164028722234, 1
CON chinese 156,0.17417025225331648, 1
CON anutan 001,0.1742834511436667, 1
CON arabic_ancient 4899,0.17457765686520466, 1
CON chinese 062,0.17635308134793445, 1
CON korean 214,0.19208422794996816, 1
CON korean 237,0.19815623502179291, 1
CON arabic_ancient 2099,0.19874122188278945, 1
CON korean 252,0.19969836484786485, 2
CON arabic_ancient 3004,0.20041169399914113, 1
CON chinese 171,0.20070611140363628, 1
CON ruelle Lib,0.20166030705778573, 1
CON western_rey Leo,0.2047073986772549, 1
CON korean 179,0.20586636499631772, 1
CON western Lep,0.20636908230480597, 2
CON arabic_ancient 1501,0.20804329004351896, 1
CON korean 229,0.20977985587411857, 2
CON chinese 083,0.211061073527806, 1
CON ruelle Lep,0.21239871042854153, 1
CON lokono 003,0.21479663953900952, 1
CON siberian DNe,0.21509762651606962, 1
CON chinese 032,0.21646465521892305, 1
#CON western UMi,0.22281057309335006, 9
CON arabic_al-sufi UMi,0.22281057309335006, 1
CON ruelle Crt,0.22586694756589776, 1
CON korean 130,0.22681576781246715, 2
CON chinese 022,0.23020242428757587, 1
CON chinese 266,0.2325938629751969, 1
CON western_rey Sgr,0.23329042427681296, 1
CON arabic_ancient 1502,0.23417214231678368, 1
CON western_SnT Car,0.2357855631770942, 1
CON arabic_al-sufi Can,0.23876131675605067, 1
CON indian N09,0.24384341921393174, 1
CON hawaiian_starlines KHK,0.24399163368398533, 1
CON korean 074,0.24433359054500656, 1
CON arabic_ancient 6299,0.244357882163562, 1
CON ruelle Tau,0.2496304544657637, 1
CON boorong Tbg,0.24992805009430144, 1
CON western_rey Cap,0.2537011609425513, 1
CON western_rey Vir,0.25628804900991264, 1
CON arabic_ancient 5199,0.2580260466378571, 1
CON western_hlad Crt,0.2580260466378571, 1
CON arabic_ancient 4204,0.2584051703757162, 1
CON western_rey CrA,0.25920218542371426, 1
CON western_rey Gem,0.26033610192633727, 1
CON korean 192,0.2628282828389569, 3
CON western_hlad Vir,0.26327400639333687, 1
CON aztec 004,0.2639277453501331, 1
CON tukano 009,0.2677775266672559, 1
CON lokono 006,0.26838277952673784, 1
CON western_hlad UMa,0.2684037602624335, 1
CON western_SnT Sgr,0.2691902160185111, 1
CON western CrA,0.2703952001570809, 2
CON romanian Rar,0.27406751379001887, 1
CON korean 161,0.27523354785590104, 2
CON western Ori,0.2767883711669886, 2
CON boorong Won,0.2787010742975206, 1
CON ruelle Sgr,0.2792655734626326, 1
CON navajo 002,0.279503351073486, 1
CON lokono 012,0.2806513560123928, 1
CON korean 011,0.2808074100557154, 1
CON sami 002,0.28694789476561117, 1
CON arabic_ancient 1099,0.288533977149125, 1
CON chinese 301,0.2902765834314313, 1
CON western_hlad CrA,0.2910042195410739, 1
CON navajo 001,0.2914851826111497, 1
CON romanian Hra,0.2936601015033154, 1
CON maori 006,0.2939953271783709, 1
CON korean 232,0.2944526249305685, 1
CON arabic_ancient 4299,0.29534907355563744, 2
CON egyptian 012,0.2999268187924625, 1
CON chinese 262,0.301782644677196, 1
CON korean 077,0.3043869978239106, 1
CON korean 094,0.30541713550710126, 1
#CON macedonian 016,0.3068578241111898, 10
CON arabic_ancient 0499,0.30699965649935207, 1
CON arabic_ancient 4199,0.3092400565579262, 1
CON boorong Yur,0.30973934515090923, 1
CON romanian Vca,0.3098369753622849, 1
CON arabic_ancient 2899,0.3150989587908541, 1
CON ruelle Cyg,0.31612802267552303, 1
CON western Tau,0.31622843011578305, 2
CON western_SnT Crt,0.3164091924381742, 1
CON ruelle Her,0.3165136086073237, 1
CON western_hlad Aur,0.31659936658210497, 1
CON western_hlad Her,0.31674498906065063, 1
CON arabic_al-sufi Cep,0.31739727170094373, 1
CON arabic_ancient 1499,0.31920542899036347, 3
CON lokono 007,0.31964175110982973, 1
CON western_hlad Oph,0.32062120578494063, 1
CON ruelle Sco,0.3214747449711722, 1
CON western Gem,0.32739177259598434, 4
CON arabic_al-sufi SFB,0.32742724021134834, 1
CON aztec 001,0.3279700549379152, 1
CON western Crt,0.3283506769293792, 3
CON western_SnT Vir,0.32869077012316883, 1
CON korean 246,0.3293030534219996, 1
CON tukano 005,0.32961368059497625, 1
CON arabic_arabian_peninsula 3099,0.3300406821573207, 3
CON western Pav,0.3311188288375109, 3
CON navajo 003,0.33137957693671793, 1
#CON macedonian 001,0.3314452002381998, 11
CON navajo 004,0.33219769189851245, 1
CON egyptian 003,0.3328439843457856, 1
CON western_hlad Cen,0.3350303914742331, 1
CON western_SnT Pav,0.34011487078732133, 1
CON korean 251,0.3404520267140448, 1
CON korean 050,0.3414120750188523, 1
CON chinese 033,0.34375419281583147, 1
CON arabic_ancient 5099,0.34618709483787463, 1
CON western_SnT CrA,0.34803860887470073, 1
CON arabic_al-sufi Tau,0.3481082258632223, 1
CON korean 183,0.35039242677008686, 1
CON arabic_al-sufi PsA,0.3517695150362259, 1
CON western_SnT Leo,0.352319622269426, 1
CON aztec 002,0.3524415166922094, 1
CON arabic_ancient 4205,0.3526766840205621, 1
CON chinese 087,0.35558928473821527, 1
CON romanian Csa,0.3586641163083309, 1
CON blackfoot 004,0.3589899481537535, 2
CON navajo 008,0.3630044411176885, 1
CON ruelle CrB,0.3633891524523448, 1
CON arabic_arabian_peninsula 4299,0.36397972799039013, 1
CON korean 075,0.36757882842019773, 1
CON korean 235,0.3709232189553964, 1
CON korean 122,0.37102111452866904, 2
CON ruelle Cet,0.37430145391185293, 1
CON western_hlad Per,0.37597551668772905, 1
CON hawaiian_starlines KOM,0.376040134786736, 1
CON korean 159,0.3765259736527568, 1
CON romanian Chi,0.38047308967497373, 1
CON western_SnT Aqr,0.38312925613085885, 1
CON arabic_ancient 2506,0.38339577808577885, 1
CON bugis 003,0.3839888499042982, 1
CON arabic_ancient 2811,0.3909481527237033, 1
CON western_rey Lep,0.39097084520490905, 2
CON western_rey And,0.3935418346125696, 1
CON western_hlad Dra,0.3935466490775114, 1
CON ruelle Com,0.39477115807572066, 1
CON ruelle Eri,0.39670660741231106, 1
CON western Sgr,0.39686756278299434, 2
CON korean 016,0.3984366713924519, 1
CON blackfoot 003,0.40118677137480446, 1
CON chinese 240,0.40383713832567114, 1
CON tukano 006,0.40412909277227055, 1
CON boorong Cwp,0.4045908495993621, 1
CON ruelle Cnc,0.4047257509371886, 1
CON arabic_ancient 1902,0.4071318060581132, 2
CON ruelle Peg,0.40715624726155264, 1
CON western_rey Dra,0.409137024083686, 2
CON korean 046,0.40938349867038615, 2
CON western_hlad Psc,0.40945380042266455, 1
CON western_SnT Ara,0.4094921753409914, 1
CON western_rey Ori,0.4101825867444691, 1
CON western_SnT Per,0.41107827224517995, 1
CON chinese 119,0.4111123016903997, 1
CON arabic_arabian_peninsula 2550,0.4116498568975288, 3
CON chinese 165,0.41178521117408773, 1
CON western_SnT Hor,0.4118147907250488, 1
CON chinese 118,0.412947320563575, 1
CON chinese 135,0.4140163496274724, 1
CON western_rey Ara,0.41476952856471866, 1
CON western_rey Per,0.41650345410661677, 1
CON anutan 009,0.4189430422716993, 1
CON boorong Kul,0.41905123572367303, 1
CON arabic_al-sufi Vir,0.4195069365060986, 1
CON tukano 011,0.42128357158827834, 6
CON blackfoot 001,0.42128357158827834, 1
CON western UMa,0.4216644480614492, 3
CON western_hlad Pav,0.42235396405155484, 1
CON western_rey Lib,0.422654052364136, 2
CON korean 099,0.42266105031362206, 1
CON korean 247,0.4227679902007224, 1
CON arabic_al-sufi Arg,0.4230928520692683, 1
CON western_hlad PsA,0.4235101549636261, 1
CON belarusian 003,0.4248970261674145, 1
CON chinese 253,0.4263824214708674, 1
CON western Leo,0.4286752801350714, 2
CON romanian Arc,0.43044626426719945, 1
CON korean 170,0.4320735700484374, 1
CON ruelle Gem,0.43475426004827306, 1
CON chinese 113,0.4354647029590999, 1
CON egyptian 010,0.43758754348292467, 1
CON western_SnT Oph,0.4379415556085802, 1
CON arabic_al-sufi And,0.4429032488490125, 1
CON boorong Bun,0.4441278866746586, 1
CON macedonian 002,0.4455559491584042, 1
CON western Dra,0.4467328630761332, 4
CON western_hlad Vol,0.4475297233394202, 1
CON western_hlad Tau,0.44808409401818955, 1
CON arabic_al-sufi Cas,0.4485064427889155, 1
CON chinese 220,0.45215672296940046, 1
CON chinese 255,0.45259112270591045, 1
CON western_hlad Sco,0.45443895734322504, 1
CON korean 033,0.4549527040629226, 1
CON arabic_ancient 2699,0.45504659602348646, 1
CON ruelle Ori,0.4550726221528929, 1
CON western_rey Tau,0.4552563744587925, 1
CON korean 188,0.4558474631840278, 1
CON arabic_ancient 6099,0.45901023677407377, 1
CON korean 191,0.45938540191838495, 1
CON korean 202,0.4595256350148871, 2
CON egyptian 014,0.4637917806245365, 1
CON mandar 004,0.46454721179957015, 1
CON boorong Wjl,0.4681251651464084, 1
CON korean 120,0.46895246131752477, 1
CON western Aur,0.4699091519101494, 4
CON arabic_ancient 3003,0.47027865506618727, 3
#CON indian N13,0.4711036270035444, 2
CON romanian Gem,0.4753089140157951, 1
CON ruelle Oph,0.4760650389660139, 1
CON korean 138,0.4770288219032214, 1
CON western_SnT Cen,0.4771432754829934, 1
CON korean 108,0.4773687864718193, 1
CON western_hlad Sgr,0.4775620902556422, 1
CON romanian Jgb,0.4780448177922387, 1
CON western_SnT Cet,0.4784927475477477, 1
CON tupi 001,0.47996361193345854, 1
CON western_hlad CMa,0.48561142685414554, 1
CON tukano 001,0.48651490205605974, 1
CON korean 185,0.48786599014022136, 1
CON arabic_al-sufi Gem,0.48853813782064637, 1
CON ruelle Per,0.488964427020899, 1
CON korean 198,0.48905669768043686, 1
CON western_SnT Eri,0.49201192509928626, 1
CON western_SnT Tau,0.4924158387870922, 1
CON ruelle Leo,0.4945526568779147, 1
CON western_SnT UMa,0.4945932232391864, 1
CON western Peg,0.49590180091147057, 2
CON book-of-the-stars-almagest SFA,0.4959334948235192, 1
CON chinese 252,0.49620004862885914, 1
CON western_rey Lac,0.5010716679043292, 2
CON korean 085,0.5020030745152868, 1
CON western Her,0.505306623942533, 1
CON western_rey Aur,0.505709086970151, 1
CON korean 143,0.5064471144857667, 1
CON western_SnT Ori,0.5073379597143105, 1
CON arabic_ancient 2008,0.5077535789003024, 1
CON western_SnT Cyg,0.5100443217473476, 1
CON chinese_contemporary Her,0.5100722609074205, 1
CON romanian Psc,0.5110180994688813, 1
CON ruelle And,0.5112040052730058, 1
CON western Sco,0.5120554117768042, 3
CON boorong Unu,0.5147641386107202, 1
CON chinese 097,0.5147703115701183, 1
CON arabic_ancient 0299,0.5157807879789766, 2
CON western_SnT Mus,0.5171583309432244, 1
CON western_rey Lyn,0.5171963542461885, 1
CON arabic_al-sufi Ori,0.5185982504171452, 1
CON bugis 005,0.5201723664584642, 1
CON ruelle Crv,0.5206672438996701, 2
CON arabic_al-sufi Leo,0.5210638785814277, 1
CON hawaiian_starlines NAV,0.5219830308055369, 1
CON western_SnT Peg,0.5219865574867096, 1
CON western_SnT Aur,0.5239014201399093, 1
CON egyptian 011,0.524677695976296, 1
CON arabic_arabian_peninsula 3005,0.5260736091373893, 3
CON western_hlad Vel,0.5295222854328564, 2
CON western_hlad Gem,0.5299521747821678, 1
CON western Cet,0.530690939309638, 2
CON western_rey Peg,0.5312176343815288, 1
CON korean 190,0.531309456522208, 1
CON korean 149,0.53269079004947, 2
CON bugis 008,0.53269079004947, 1
CON western_SnT Her,0.5354902573281026, 1
CON arabic_ancient 6199,0.5356536709991621, 1
CON korean 272,0.5358695724656869, 1
CON chinese 027,0.53607878817152, 1
CON western Cen,0.5360890630783337, 2
CON romanian Omu,0.5366452953777985, 1
CON arabic_al-sufi Crt,0.5372071441208552, 1
CON arabic_al-sufi SHr,0.5376587118097524, 1
CON western_hlad Cap,0.5385510224614303, 1
CON arabic_al-sufi CrA,0.5396176531324339, 1
CON western_rey Her,0.5421330424271409, 1
CON chinese 142,0.5441129628516919, 1
CON chinese 275,0.5448847792405511, 1
CON ruelle Cep,0.5457474889012376, 1
CON western Per,0.5462655184950801, 3
CON arabic_arabian_peninsula 2999,0.546809461691541, 3
CON western_rey Cen,0.5482422182692277, 1
CON navajo 006,0.5483288804391673, 1
CON western_rey Psc,0.552402845905942, 1
CON korean 178,0.5527275878754986, 1
CON korean 145,0.5527905734702081, 1
CON ruelle UMa,0.5553131822180934, 1
CON japanese_moon_stations 24,0.5577517825600367, 1
CON western_SnT And,0.5580059093479632, 1
CON romanian Vir,0.5596728669820281, 1
CON western_rey Lup,0.5604442640881813, 1
CON western_hlad Tuc,0.5618934970365994, 2
CON sardinian 002,0.5651938461502214, 1
CON chinese 278,0.5660110983400507, 1
CON western_hlad Tel,0.5664540020727236, 1
CON western_hlad Ser,0.5664894561167142, 1
CON lokono 011,0.5669260373755899, 1
CON western PsA,0.5671557153004365, 2
CON arabic_ancient 1399,0.5695088554567281, 1
CON chinese 265,0.570496819420295, 1
CON arabic_al-sufi Per,0.5719976920469202, 1
CON arabic_ancient 5399,0.5731360582839076, 1
CON egyptian 005,0.5743456183129352, 1
CON western_hlad Aqr,0.5760074947373731, 1
CON boorong Ydk,0.5774400490285511, 1
CON arabic_ancient 1999,0.5774803928541921, 2
CON hawaiian_starlines MAN,0.5776662728244119, 1
CON chinese 125,0.5788277204235647, 1
CON arabic_al-sufi Ari,0.579171008144584, 1
