Constellation, Max Continuation, Same Constellations Accross Cultures 
CON korean 116,0.1298840464394333, 1
CON chinese 148,0.13924802304549067, 1
CON chinese 269,0.15562244155245253, 1
CON japanese_moon_stations 22,0.1678249822851754, 1
CON ruelle Cas,0.18223005901630618, 1
CON chinese 213,0.18876698015704418, 1
CON chinese 307,0.19084405156645046, 1
CON korean 228,0.2255513425522162, 1
CON anutan 001,0.22848682210620463, 1
CON chinese 013,0.2363677041842407, 1
CON korean 236,0.2402401079733565, 2
CON chinese 156,0.24399651890825336, 1
CON romanian Sec,0.253647287145776, 1
CON korean 252,0.2722709878776106, 2
CON korean 215,0.27935648844056593, 1
CON arabic_ancient 0999,0.29214651365678, 1
CON arabic_ancient 6299,0.2951996419451923, 1
CON arabic_ancient 5999,0.296319577815948, 1
CON arabic_ancient 4899,0.2980430636732665, 1
CON korean 105,0.30210071093961055, 1
CON korean 037,0.30723603951831246, 1
CON korean 229,0.31051946217320747, 2
CON chinese 062,0.3228672684183618, 1
CON korean 214,0.3238241609111632, 1
CON chinese 171,0.33518080340063383, 1
CON korean 237,0.34102103279464835, 1
#CON western UMi,0.34102103279464835, 9
CON aztec 004,0.34102103279464835, 1
CON arabic_al-sufi UMi,0.34102103279464835, 1
CON chinese 083,0.34102103279464835, 1
CON chinese 301,0.3502605589826109, 1
CON korean 114,0.3610813126146719, 1
CON ruelle Crt,0.3641751304029941, 1
CON korean 122,0.37437473119864695, 2
CON korean 246,0.37520411032373424, 1
CON korean 179,0.38257685007981257, 1
CON siberian DNe,0.3902951407228539, 1
CON korean 074,0.4031641521425986, 1
CON ruelle Aur,0.4276645513462589, 1
CON western CrA,0.4367083431080587, 2
CON arabic_ancient 3004,0.4367083431080587, 1
CON egyptian 021,0.4367083431080587, 1
CON arabic_ancient 5199,0.44450118343249745, 1
CON western_hlad Crt,0.44450118343249745, 1
CON lokono 003,0.4462132084563861, 1
CON boorong Tbg,0.45848707391983945, 1
CON korean 124,0.46595591733477804, 1
CON indian N09,0.47518505185051074, 1
CON hawaiian_starlines KHK,0.4780885292935593, 1
CON western_hlad Ori,0.4780885292935593, 1
CON western_rey CrA,0.48134196563078957, 1
CON boorong Yur,0.48729713072202063, 1
#CON macedonian 016,0.48946337185941546, 10
CON blackfoot 004,0.48946337185941546, 2
CON arabic_ancient 1499,0.48946337185941546, 3
CON romanian Hra,0.48946337185941546, 1
CON ruelle Lep,0.49244656597081926, 1
CON romanian Csa,0.4982693375919305, 1
CON hawaiian_starlines LUP,0.5141002189907367, 1
CON korean 183,0.5164224644191946, 1
CON arabic_ancient 4199,0.5170948611350095, 1
CON western_rey Cap,0.5177821506018699, 1
CON western Crt,0.5470504388817645, 3
CON western_SnT Crt,0.5470504388817645, 1
CON korean 077,0.5519735580089873, 1
CON western_hlad Vir,0.5642314685426761, 1
CON chinese 113,0.5649707989722077, 1
CON ruelle Cep,0.5656356787314971, 1
CON chinese 119,0.5695898753595463, 1
CON ruelle Lib,0.5714038227245353, 1
CON chinese 087,0.5738924192253259, 1
#CON macedonian 001,0.5798769676510984, 11
CON sami 002,0.5798769676510984, 1
CON western Lep,0.5871096184794649, 2
CON boorong War,0.5883394450081427, 1
CON korean 247,0.5969684156006654, 1
CON boorong Won,0.5983352988736277, 1
CON arabic_ancient 1501,0.601935616717507, 1
CON boorong Cwp,0.6241064144967141, 1
CON egyptian 003,0.6272805540949431, 1
CON western Tau,0.6285428482573492, 2
CON western_SnT CrA,0.6297738804807684, 1
CON korean 130,0.6308791276276964, 2
CON western_hlad Aur,0.6308791276276964, 1
CON chinese 266,0.6308791276276964, 1
CON western_rey Leo,0.6359933798562438, 1
CON korean 149,0.6418953115612913, 2
CON romanian Rar,0.6418953115612913, 1
CON bugis 008,0.6418953115612913, 1
CON korean 192,0.6427348923167144, 3
CON romanian Vca,0.6438950415622418, 1
CON korean 011,0.647307400324292, 1
CON arabic_al-sufi Can,0.6535374307670805, 1
CON macedonian 002,0.6536348970741106, 1
CON korean 188,0.6548073416717513, 1
CON western_hlad CrA,0.658882277477161, 1
CON western_hlad Pav,0.6610719584207616, 1
CON korean 170,0.6617835048207001, 1
CON romanian Arc,0.6618811105467043, 1
CON western_SnT Pav,0.6636644996291752, 1
CON korean 094,0.6665219620963132, 1
CON western_rey Vir,0.6729508712984529, 1
CON korean 202,0.6761877539801606, 2
CON western_rey Hyi,0.6769708486522814, 1
CON korean 046,0.6783201610791263, 2
CON lokono 006,0.6842810015145817, 1
CON mandar 004,0.6850316683742919, 1
CON western_rey Dra,0.6869039907133621, 2
CON chinese 022,0.6898019486694649, 1
CON korean 050,0.6939962465345872, 1
CON ruelle CrB,0.6958782195788697, 1
CON western_rey Ara,0.6960312345338209, 1
CON western_SnT Ara,0.6960312345338209, 1
CON arabic_ancient 3003,0.6978867360418661, 3
CON chinese 142,0.7023545371153821, 1
CON chinese 165,0.7074980815742133, 1
CON boorong Tot,0.7258528964686612, 1
CON western Dra,0.7295249051970298, 4
CON western_hlad Dra,0.7295249051970298, 1
CON arabic_ancient 4204,0.731324664723934, 1
CON korean 099,0.7362237937094132, 1
CON arabic_ancient 0499,0.740016535756431, 1
CON bugis 003,0.7488264537985613, 1
CON korean 033,0.7495649630432524, 1
CON korean 235,0.7515551405550132, 1
CON arabic_al-sufi Cep,0.7542158275179971, 1
CON chinese 255,0.7549946352868493, 1
CON chinese 081,0.7587002296263603, 1
CON arabic_ancient 1502,0.7639082991133974, 1
CON arabic_ancient 1899,0.7648806827907575, 1
CON chinese 240,0.7705810773659438, 1
CON western Ori,0.7748072307937117, 2
CON korean 108,0.783987178425233, 1
CON arabic_arabian_peninsula 3005,0.7851370352479083, 3
CON chinese 030,0.790029365804455, 1
CON western Aur,0.7910976977714457, 4
CON western_hlad Tuc,0.8091339870848415, 2
CON western_rey Tuc,0.8091339870848415, 1
CON boorong Wjl,0.8112986351248948, 1
CON chinese 032,0.8143702602066023, 1
CON korean 159,0.8183330378533653, 1
CON western_SnT Car,0.8281227982620178, 1
CON tukano 011,0.8328816143826283, 6
CON blackfoot 001,0.8328816143826283, 1
CON bugis 005,0.8328816143826283, 1
CON western_rey And,0.8368300471900207, 1
CON ruelle Tau,0.8386476536660323, 1
CON western_SnT Mus,0.8468139274762898, 1
CON western_hlad Ser,0.847798216035569, 1
CON western_hlad CMa,0.8540335870715583, 1
CON japanese_moon_stations 24,0.8601828272614209, 1
CON ruelle Her,0.8644347928727543, 1
CON western_rey Lib,0.8659174776009322, 2
CON chinese 262,0.8716439084800114, 1
CON navajo 002,0.8720132190364416, 1
CON arabic_ancient 1099,0.8786420562243682, 1
CON arabic_ancient 2899,0.8813276220836092, 1
CON arabic_ancient 5099,0.8861619223040189, 1
CON ruelle Com,0.8869655561943659, 1
CON anutan 011,0.8985786089832564, 1
CON ruelle Sco,0.9010082596280804, 1
CON aztec 001,0.9116712609438657, 1
CON arabic_arabian_peninsula 2808,0.9117408626627905, 3
CON western_hlad Cen,0.9243737256639928, 1
CON ruelle Sgr,0.9274961809792224, 1
CON western_SnT Sgr,0.9274961809792224, 1
CON korean 138,0.9293476480553338, 1
CON arabic_ancient 1902,0.9314249173296623, 2
CON maori 006,0.9348954450319793, 1
CON korean 016,0.9364141591458965, 1
CON western Gem,0.936445908754775, 4
CON western_rey Gem,0.936445908754775, 1
CON western_SnT Aqr,0.9435564810129629, 1
CON chinese 263,0.9486081234639894, 1
CON western_hlad Vol,0.949536250593723, 1
CON western_hlad UMa,0.9508227859912173, 1
CON arabic_ancient 2703,0.9515608285012642, 1
CON arabic_ancient 2799,0.9515608285012642, 1
#CON indian N13,0.9515966564541083, 2
CON ruelle Crv,0.9515966564541083, 2
CON chinese 031,0.9515966564541083, 1
CON chinese 097,0.9556389884323782, 1
CON western_SnT Hor,0.9608969495583946, 1
CON western_rey Crv,0.9675274106436225, 1
CON western_rey Sgr,0.9712850769137673, 1
CON western_hlad Mic,0.9737213722510862, 1
CON ruelle Cyg,0.9781816050676029, 1
CON anutan 009,0.9785998081706859, 1
CON korean 161,0.9810445954273992, 2
CON arabic_ancient 4205,0.9810445954273992, 1
CON arabic_ancient 4299,0.9810445954273992, 2
CON western Oph,0.9920935916881681, 2
CON western Sgr,0.9996768779432061, 2
CON egyptian 012,1.000430052651699, 1
CON western_hlad Equ,1.0012565953189412, 1
CON chinese 033,1.002181247329598, 1
CON chinese 125,1.00437464792021, 1
CON korean 185,1.0162276487590347, 1
CON western_hlad Lib,1.0199225375820613, 1
CON western_rey Cha,1.0238977637625335, 1
CON western_SnT Cha,1.0238977637625335, 1
CON korean 178,1.0240810438408803, 1
CON arabic_ancient 2099,1.0261471994241331, 1
CON korean 272,1.0356438084248378, 1
CON korean 143,1.0411914608562844, 1
CON chinese 027,1.063702801199897, 1
CON chinese 254,1.0659205186362248, 1
CON japanese_moon_stations 21,1.066586635787069, 1
CON western_SnT Vir,1.0736124680646126, 1
CON arabic_arabian_peninsula 4299,1.0844879623791455, 1
CON korean 075,1.0991033590156687, 1
CON western_rey Her,1.1099739197942808, 1
CON chinese 091,1.1147057267806062, 1
CON korean 141,1.1156007746348866, 1
CON western_hlad Cyg,1.116449299722273, 1
CON belarusian 003,1.136204279203639, 1
CON ruelle Eri,1.1404126050979477, 1
CON western_hlad Vel,1.1421325304593877, 2
CON western Lyr,1.145570090842987, 5
CON arabic_arabian_peninsula 3099,1.1465804796512589, 3
CON western_hlad Hor,1.1487134466209405, 1
CON korean 038,1.1505504359400502, 2
CON chinese 024,1.1505504359400502, 1
CON indian N19,1.15300688060603, 1
CON boorong Cwr,1.1566458574908616, 1
CON arabic_al-sufi And,1.1568431332592573, 1
CON romanian Jgb,1.1621618172255255, 1
CON boorong Bun,1.1623438753190727, 1
CON sardinian 002,1.1633833311093076, 1
CON chinese 001,1.1679192284809359, 1
CON navajo 001,1.1740028799955404, 1
CON korean 120,1.1820956527775355, 1
CON western_rey Lep,1.1848282436884483, 2
CON maori 004,1.1873725423317834, 1
CON western_rey Cnc,1.1892570858579852, 1
CON korean 251,1.1915343835194836, 1
CON western_rey Ori,1.196821396133625, 1
CON korean 191,1.1969849691100505, 1
CON western_SnT Oph,1.1971009741933678, 1
CON ruelle Ori,1.197151354511133, 1
CON chinese 275,1.1979376641582504, 1
CON navajo 008,1.1989020743112215, 1
CON western_rey SerCd,1.2053905916894758, 1
CON western_hlad Sgr,1.2087153590840605, 1
CON arabic_al-sufi Arg,1.2156413435575093, 1
CON western Per,1.2210245155046682, 3
CON western_hlad Per,1.2210245155046682, 1
CON lokono 007,1.2242160522808554, 1
CON boorong Ydk,1.2274548016594262, 1
CON boorong Kul,1.2291112590447404, 1
CON western Peg,1.2303720135083216, 2
CON ruelle Peg,1.2303720135083216, 1
CON western_SnT Peg,1.2303720135083216, 1
CON chinese 050,1.2359639130386164, 1
CON arabic_ancient 2699,1.236351024184037, 1
CON chinese 089,1.2365791420188244, 1
CON western_hlad Pyx,1.2421000894467449, 1
CON tukano 002,1.2524488003356598, 1
CON korean 063,1.2524488003356598, 2
CON arabic_ancient 6199,1.2556453790183078, 1
CON western_hlad Gem,1.2571143016583555, 1
CON western_hlad Oct,1.2594523692917796, 1
CON western Aql,1.26018909571544, 2
CON western Lib,1.2617898754593186, 2
CON book-of-the-stars-almagest SFA,1.2630867108005757, 1
CON navajo 005,1.266214581340654, 3
CON korean 085,1.2687325951749098, 1
CON egyptian 010,1.2706108204504898, 1
CON tukano 009,1.2751196147140587, 1
CON boorong Mar,1.2755619183674811, 1
CON arabic_arabian_peninsula 2999,1.2862945587322454, 3
CON western Sco,1.2862945587322454, 3
CON western_hlad Sco,1.2862945587322454, 1
CON arabic_ancient 2811,1.2892650911655474, 1
CON chinese 046,1.2895370611038772, 1
CON western_hlad Lac,1.290722909685357, 1
CON hawaiian_starlines MAN,1.2933949860619265, 1
CON arabic_al-sufi Sco,1.2933949860619265, 1
CON western_SnT Ori,1.2940341025072835, 1
CON western_rey Lup,1.2943271674894103, 1
CON western_hlad Hya,1.2965712820305935, 1
CON chinese 212,1.299046017970972, 1
CON arabic_ancient 1399,1.3026090991918913, 1
CON chinese 265,1.305558820603446, 1
CON ruelle Per,1.3085599098332323, 1
CON korean 232,1.3113510179581085, 1
CON anutan 004,1.3134232235905592, 1
CON western Ara,1.336281959101756, 2
CON western_hlad Oph,1.336371030650087, 1
CON japanese_moon_stations 08,1.3423689761815938, 1
CON western_SnT Eri,1.344070114064785, 1
CON arabic_al-sufi Cas,1.3519066619196687, 1
CON egyptian 002,1.3605753753441268, 1
CON western_SnT Cet,1.3766423480072292, 1
CON romanian Gem,1.3922049887575163, 1
CON western And,1.3984938109727416, 3
CON ruelle And,1.3984938109727416, 1
CON chinese 118,1.4097753499103884, 1
CON western_hlad Aqr,1.4151615061211968, 1
CON arabic_al-sufi Gem,1.4193550746725496, 1
CON tongan 007,1.4216052944285724, 1
CON arabic_al-sufi Lep,1.425208983947134, 1
CON ruelle Cnc,1.4275126684394395, 1
CON egyptian 011,1.4330117084351561, 1
CON romanian Chi,1.4385340665367858, 1
CON arabic_ancient 0299,1.4385793825212163, 2
CON chinese 220,1.4414015751535936, 1
CON arabic_al-sufi SFB,1.4465167940750367, 1
CON arabic_al-sufi PsA,1.4545511147728798, 1
CON western Pup,1.454620467150959, 2
CON chinese 057,1.4593152039195862, 1
CON korean 198,1.4616711987339701, 1
CON blackfoot 003,1.4621064388605483, 1
CON korean 249,1.4621064388605483, 1
CON western_hlad Her,1.4621064388605483, 1
CON lokono 011,1.4621064388605483, 1
CON western Mon,1.4698103933079207, 2
CON western_rey Car,1.471866261894971, 1
CON korean 136,1.4726742242739888, 1
CON korean 090,1.4736137812496921, 1
CON chinese 135,1.4736137812496921, 1
CON western_rey Vel,1.4763311907356749, 1
CON tupi 006,1.477865303747301, 1
CON western PsA,1.4813777420552445, 2
CON tukano 001,1.4820316077913556, 1
CON western_rey Cet,1.4834223168273053, 1
CON western Cet,1.4873845641377117, 2
CON western_hlad Lup,1.487468062379258, 1
CON tukano 003,1.4885096000941735, 1
CON egyptian 014,1.4888961530394655, 1
CON chinese 209,1.5001903502338139, 1
CON chinese 316,1.5142636975212374, 1
